not mapped	-	replaced by/mapped	-	Mapped to	-	Remarks (April 2012)
	=	P24588	=	9495	=	
	=	P24666	=	52	=	
	=	P24723	=	5583	=	
	=	P24821	=	3371	=	
	=	P24844	=	10398	=	
	=	P24864	=	898	=	
	=	P24941	=	1017	=	
	=	P25024	=	3577	=	
	=	P25025	=	3579	=	
	=	P25054	=	324	=	
	=	P25089	=	2359	=	
	=	P25090	=	2358	=	
	=	P25098	=	156	=	
	=	P25101	=	1909	=	
	=	P25116	=	2149	=	
	=	P25205	=	4172	=	
	=	P25208	=	4801	=	
	=	P25391	=	284217	=	
	=	P25440	=	6046	=	
	=	P25445	=	355	=	
	=	P25490	=	7528	=	
	=	P25788	=	5684	=	
	=	P25940	=	50509	=	
	=	P25942	=	958	=	
	=	P25963	=	4792	=	
	=	P26006	=	3675	=	
	=	P26010	=	3695	=	
	=	P26012	=	3696	=	
	=	P26038	=	4478	=	
	=	P26358	=	1786	=	
	=	P26367	=	5080	=	
	=	P26651	=	7538	=	
	=	P26927	=	4485	=	
	=	P26951	=	3563	=	
	=	P27037	=	92	=	
	=	P27338	=	4129	=	
	=	P27348	=	10971	=	
	=	P27361	=	5595	=	
	=	P27540	=	405	=	
